"pacto";"comuna";"votacion";"n_candidatos";"p_votacion";"voto_w";"p_candidatos";"voto_w2";"no_pobres";"pobres";"p_pobreza"
"Apruebo Dignidad";"HUASCO";344;3;0,000974180956440498;0,335118249015531;0,00141643059490085;0,0004746717408152;5983;1009;0,144307780320366
"Apruebo Dignidad";"HUECHURABA";3719,958;7;0,0105346286115072;39,1883759804052;0,00330500472143532;0,129517767640621;54730;27915;0,33776998003509
"Apruebo Dignidad";"ILLAPEL";1131;6;0,00320290308643664;3,62248339075984;0,0028328611898017;0,0102619926083848;22521;7139;0,240694538098449
"Apruebo Dignidad";"INDEPENDENCIA";2870,181;7;0,00812812695272484;23,3291955452987;0,00330500472143532;0,0771031014245001;33977;6812;0,167005810390056
"Apruebo Dignidad";"IQUIQUE";1079,824;6;0,0030579766776378;3,30207660795356;0,0028328611898017;0,0093543246684237;135987;33858;0,199346462951515
"Apruebo Dignidad";"ISLA DE MAIPO";2649;6;0,00750175974886884;19,8721615747535;0,0028328611898017;0,056295075282588;24174;8501;0,260168324407039
"Apruebo Dignidad";"LA CISTERNA";1159,028;6;0,00328227617901546;3,80424999521193;0,0028328611898017;0,0107769121677392;46740;10479;0,183138467991401
"Apruebo Dignidad";"LA CRUZ";1302;9;0,00368716164327189;4,80068445954;0,00424929178470255;0,0203995090348725;13129;3660;0,217999880874382
"Apruebo Dignidad";"LA ESTRELLA";281;6;0,000795769909185407;0,223611344481099;0,0028328611898017;0,000633459899379885;2901;753;0,206075533661741
"Apruebo Dignidad";"LA FLORIDA";1588,737;7;0,00449917828544305;7,14801101167993;0,00330500472143532;0,0236242101424738;307820;64814;0,173934745621709
"Apruebo Dignidad";"LA GRANJA";2515,947;8;0,00712496411283024;17,9260320847829;0,00377714825306893;0,0677092807734954;84338;22359;0,209556032503257
"Apruebo Dignidad";"LA HIGUERA";151;6;0,000427620129135219;0,064570639499418;0,0028328611898017;0,000182919658638578;2007;1515;0,43015332197615
"Apruebo Dignidad";"LA LIGUA";1196,863;9;0,00338942192461699;4,05667369296286;0,00424929178470255;0,0172379901967261;28082;9346;0,249706102383242
"Apruebo Dignidad";"LA PINTANA";1367,975;7;0,00387399765664736;5,29953194435217;0,00330500472143532;0,0175149780974812;141226;48141;0,254220640343883
"Apruebo Dignidad";"LA REINA";2796,098;7;0,00791832972075978;22,140425895557;0,00330500472143532;0,0731742121194046;79384;4444;0,0530133129741852
"Apruebo Dignidad";"LA SERENA";2796,098;7;0,00791832972075978;22,140425895557;0,00330500472143532;0,0731742121194046;185943;43292;0,188854232556111
"Apruebo Dignidad";"LA UNION";2077,995;6;0,00588471847842608;12,228415574577;0,0028328611898017;0,0346414038939859;26758;7383;0,216250256290091
"Apruebo Dignidad";"LAGO RANCO";235;6;0,00066550152547534;0,156392858486705;0,0028328611898017;0,000443039259169136;5260;2854;0,351737737244269
"Apruebo Dignidad";"LAJA";1047;5;0,00296502169009652;3,10437770953105;0,00236071765816808;0,00732855927651334;13860;3887;0,219022933453541
"Apruebo Dignidad";"LAMPA";2028,752;8;0,00574526617366446;11,6557202403541;0,00377714825306893;0,0440253833441138;59570;17548;0,22754739490132
"Apruebo Dignidad";"LANCO";365;6;0,00103365130552553;0,377282726516818;0,0028328611898017;0,00106878959353206;12267;3354;0,214710966007298
"Apruebo Dignidad";"LAS CABRAS";1272;6;0,00360220400172184;4,58200349019018;0,0028328611898017;0,0129801798588957;20875;3419;0,140734337696551
"Apruebo Dignidad";"LAS CONDES";1272;6;0,00360220400172184;4,58200349019018;0,0028328611898017;0,0129801798588957;270068;9964;0,0355816478116787
"Apruebo Dignidad";"LAUTARO";222;1;0,000628686547470322;0,139568413538411;0,000472143531633617;6,58963236725266e-05;30884;4273;0,121540518246722
"Apruebo Dignidad";"LEBU";222;1;0,000628686547470322;0,139568413538411;0,000472143531633617;6,58963236725266e-05;17013;7551;0,307401074743527
"Apruebo Dignidad";"LICANTEN";365;8;0,00103365130552553;0,377282726516818;0,00377714825306893;0,00142505279137608;5776;1146;0,165559086969084
"Apruebo Dignidad";"LIMACHE";2688;9;0,00761220468288389;20,4616061875919;0,00424929178470255;0,0869473350747531;32969;13350;0,288218657570327
"Apruebo Dignidad";"LINARES";1611,614;5;0,00456396415096772;7,3553485211977;0,00236071765816808;0,0173639011359719;71716;19395;0,212872210819769
"Apruebo Dignidad";"LITUECHE";837;6;0,00237031819924621;1,98395633276908;0,0028328611898017;0,00562027289736283;4185;1119;0,210972850678733
"Apruebo Dignidad";"LLAILLAY";1172,118;9;0,00331934602994513;3,89066522992722;0,00424929178470255;0,0165325717985576;16434;6937;0,296820846348038
"Apruebo Dignidad";"LLANQUIHUE";1103;6;0,0031236092876566;3,44534104428523;0,0028328611898017;0,00976017292998648;15460;3302;0,175994030487155
"Apruebo Dignidad";"LO BARNECHEA";2400,204;7;0,00679718903596602;16,3146403128818;0,00330500472143532;0,0539199632625932;96455;21789;0,184271506376645
"Apruebo Dignidad";"LO ESPEJO";1653,505;6;0,00468259616970682;7,74269617959108;0,0028328611898017;0,0219339835115895;53553;30066;0,359559430273024
"Apruebo Dignidad";"LO PRADO";4048,485;7;0,0114649912483576;46,415845094107;0,00330500472143532;0,153404587185434;60190;18619;0,236254742478651
"Apruebo Dignidad";"LOLOL";608;6;0,00172180820208088;1,04685938686518;0,0028328611898017;0,00296560732822996;5201;878;0,144431649942425
"Apruebo Dignidad";"LONCOCHE";656;5;0,00185774042856095;1,21867772113598;0,00236071765816808;0,00287695401590175;14350;5535;0,278350515463918
"Apruebo Dignidad";"LONGAVI";1267;5;0,00358804439479683;4,54605224820759;0,00236071765816808;0,0107319458172984;16084;10808;0,401903911944073
"Apruebo Dignidad";"LONQUIMAY";81;1;0,000229385632185117;0,0185802362069945;0,000472143531633617;8,77253834135718e-06;4207;6503;0,60718954248366
"Apruebo Dignidad";"LOS ALAMOS";1257;5;0,00355972518094682;4,47457455245015;0,00236071765816808;0,0105632071587586;14826;5739;0,279066374908826
"Apruebo Dignidad";"LOS ANDES";3282;9;0,00929436598557475;30,5041091646563;0,00424929178470255;0,129620860473044;66047;8131;0,109614710561083
"Apruebo Dignidad";"LOS ANGELES";1147,617;5;0,00324996112409121;3,72971063534618;0,00236071765816808;0,00880479375671902;178149;26771;0,130641225844232
"Apruebo Dignidad";"LOS LAGOS";1200;6;0,00339830566200174;4,07796679440209;0,0028328611898017;0,0115523138651617;14639;5211;0,262518891687657
"Apruebo Dignidad";"LOS MUERMOS";463;6;0,00131117960125567;0,607076155381375;0,0028328611898017;0,00171976247983392;10532;4219;0,286014507491018
"Apruebo Dignidad";"LOS SAUCES";78;1;0,000220889868030113;0,0172294097063488;0,000472143531633617;8,13475434671804e-06;3135;1938;0,382022471910112
"Apruebo Dignidad";"LOS VILOS";773;6;0,00218907523060612;1,69215515325853;0,0028328611898017;0,00479364066078904;12064;6239;0,340873080915697
"Apruebo Dignidad";"LOTA";1926,902;5;0,00545683498060206;10,5147862377921;0,00236071765816808;0,0248224415434185;36788;7342;0,166372082483571
"Apruebo Dignidad";"LUMACO";59;1;0,000167083361715085;0,00985791834119004;0,000472143531633617;4,65435238016527e-06;5005;3798;0,43144382596842
"Apruebo Dignidad";"MACHALI";1444,682;6;0,00409122585032666;5,91052034390162;0,0028328611898017;0,0167436836937723;29464;7900;0,211433465367734
"Apruebo Dignidad";"MACUL";1362,239;8;0,00385775375558299;5,25518261825161;0,00377714825306893;0,0198496038460873;72565;9482;0,115567906200105
"Apruebo Dignidad";"MAFIL";217;6;0,000614526940545314;0,133352346098333;0,0028328611898017;0,000377768685830972;4018;2197;0,353499597747385
"Apruebo Dignidad";"MAIPU";1041,524;8;0,00294951408859225;3,07198971160695;0,00377714825306893;0,0116033605726419;964193;120537;0,111121661611645
"Apruebo Dignidad";"MALLOA";575;6;0,00162835479637583;0,936304007916104;0,0028328611898017;0,00265241928588131;10612;2180;0,170419011882427
"Apruebo Dignidad";"MARIA ELENA";279;6;0,000790106066415404;0,220439592529898;0,0028328611898017;0,000624474766373648;1860;277;0,12962096396818
"Apruebo Dignidad";"MARIA PINTO";1184;6;0,00335299491984171;3,96994598509259;0,0028328611898017;0,0112463059067779;7419;4514;0,378278722869354
"Apruebo Dignidad";"MARIQUINA";529;6;0,00149808641266577;0,79248771230019;0,0028328611898017;0,00224500768356994;13257;2777;0,173194461768741
"Apruebo Dignidad";"MAULE";529;6;0,00149808641266577;0,79248771230019;0,0028328611898017;0,00224500768356994;15224;8002;0,344527684491518
"Apruebo Dignidad";"MAULLIN";523;6;0,00148109488435576;0,774612624518061;0,0028328611898017;0,00219437004112765;8550;3149;0,269168304983332
"Apruebo Dignidad";"MEJILLONES";722;6;0,00204464723997105;1,4762353072591;0,0028328611898017;0,00418196970894928;7298;2268;0,23708969266151
"Apruebo Dignidad";"MELIPEUCO";71;1;0,000201066418335103;0,0142757157017923;0,000472143531633617;6,74018682804169e-06;2937;1562;0,34718826405868
"Apruebo Dignidad";"MELIPILLA";71;1;0,000201066418335103;0,0142757157017923;0,000472143531633617;6,74018682804169e-06;83207;21432;0,204818471124533
"Apruebo Dignidad";"MOLINA";1787,341;8;0,00506160920018987;9,04682164947657;0,00377714825306893;0,0341711865891466;36015;5240;0,127014907283966
